stock_code,stockId,name,market
51005,1000233819,UB#HSI  RC27088,SEHK
51006,1000233723,UB#HSI  RC2707W,SEHK
51021,1000233726,UB#HKEX RC2610D,SEHK
51030,1000233704,JP#HSI  RC2709V,SEHK
51034,1000233705,JP#HSI  RC2709X,SEHK
00550,16258,ALLEGRO CULTURE,SEHK
05502,123683,SINOPEC N4504,SEHK
05503,1000255652,PETRONAS N5504,SEHK
05504,1000258395,CGWIH VI B2804,SEHK
05507,124281,CNOOCF15A N4505,SEHK
55000,1000276297,BP#ALIBARP2805G,SEHK
55002,1000237140,SG#XIAMIRC2511C,SEHK
55003,1000237064,SG#XIAMIRC2512A,SEHK
55006,1000282397,BI#HSI  RP2804T,SEHK
55007,1000252904,HS#XIAMIRP2711A,SEHK
00560,1199,CHU KONG SHIP,SEHK
05602,135775,SKYFAME B3211,SEHK
05603,1000262118,YONGA INV B2806,SEHK
05604,136195,SP MTN FN N2601,SEHK
05606,1000262119,KFDIG B2806,SEHK
05608,1000262567,SDG FIN GSPCS,SEHK
05609,1000262415,CGXCIG B2806,SEHK
56000,1000282720,MS#HSI  RP28048,SEHK
56002,1000265406,SG#SMIC RC2602B,SEHK
56005,1000272803,HS#HSI  RC2808S,SEHK
00580,53239,SUN.KING TECH,SEHK
05800,1000194949,HCG N2606,SEHK
05801,1000195568,XC INTL B2606,SEHK
05805,1000195978,MENGNIU B2606,SEHK
05806,1000196262,BOCL N2606,SEHK
05807,217087,SHKP(CM)L N2902,SEHK
05809,1000267898,DZKS B2807,SEHK
58000,1000223417,UB#CCB  RC2607B,SEHK
58001,1000273759,UB#ALIBARP2808E,SEHK
58002,1000250162,MS#XIAMIRP2712J,SEHK
00590,1354,LUK FOOK HOLD,SEHK
05902,1000272877,CCB N2809,SEHK
05903,219624,JOY TREA B2903,SEHK
05906,1000272878,CCB N3009,SEHK
05907,1000273313,SXSY CIO N2809,SEHK
59008,1000250605,HS#HSI  RP2712I,SEHK
59009,1000266430,UB#HSI  RC2707C,SEHK
59021,1000239856,UB#SENTMRC2512A,SEHK
59022,1000250494,HS#HSI  RP2712M,SEHK
59031,1000276894,JP#HSI  RP2808C,SEHK
00570,1251,TRAD CHI MED,SEHK
05700,1000264814,CDB N2807B,SEHK
05702,1000186470,BOCOM N2602,SEHK
05704,1000264815,CTFJ B3006,SEHK
05705,1000265051,JSJURONG B2807,SEHK
05707,1000265191,JINAN HT B2807,SEHK
05708,103402,AIA GROUP N4403,SEHK
05709,1000265190,LNTDIG B2806,SEHK
57000,1000265722,HU#HSI  RC2712E,SEHK
57001,1000265810,MS#HSI  RC28027,SEHK
00610,1424,WAI KEE HOLD,SEHK
06100,189694,TONGDAO LIEPIN,SEHK
06108,125850,NEW RAY MEDIC,SEHK
61002,1000279530,BP#POMRTRP2806O,SEHK
61007,1000274694,CI#HSI  RP2802S,SEHK
61009,1000274511,CI#HSI  RP2804T,SEHK
61030,1000267425,UB#ALIBARC2608B,SEHK
61032,1000262725,HS#KUASORC2601F,SEHK
61040,1000279440,SG#POMRTRC2606G,SEHK
61043,1000262771,HS#HSI  RC2712V,SEHK
00620,1442,DTXS SILK ROAD,SEHK
62000,1000251722,JP#HSI  RP2709F,SEHK
62027,1000251920,JP#HSI  RP2709M,SEHK
62032,1000251781,JP#HSI  RP2802B,SEHK
62033,1000283013,JP#XIAMIRC2609D,SEHK
62035,1000251724,JP#HSI  RP2708F,SEHK
62061,1000241919,GJ#HSI  RC27101,SEHK
62063,1000283014,JP#TENCTRC26083,SEHK
62079,1000282886,JP#XIAMIRC2608F,SEHK
00630,1460,AMCO UNITED,SEHK
63004,1000280248,SG#C MOBRC2809E,SEHK
63006,1000280213,SG#LIAUTRC2605D,SEHK
63008,1000256126,CT#ALIBARC2604B,SEHK
63012,1000256189,CT#HSI  RC2606H,SEHK
63013,1000256127,CT#HSI  RC2606I,SEHK
63016,1000256002,CT#HSI  RC2606K,SEHK
63017,1000268356,UB#BYD  RP2805D,SEHK
63020,1000268304,UB#MTUANRP2807C,SEHK
63021,1000280116,UB#CSPC RC2711I,SEHK
06000,222837,IFC DEV N2904,SEHK
06001,1000279757,DEYANG N2810,SEHK
06002,1000279940,SR INVT B2810,SEHK
06003,1000208559,XIANPORT B2610B,SEHK
06004,1000208869,PION REW N2611,SEHK
06005,1000280113,GLP HLD N2904,SEHK
06006,1000280584,MEITUAN N3105,SEHK
06007,1000208985,LUSO BANK B3405,SEHK
06009,1000280585,MEITUAN N3211,SEHK
60002,1000262411,SG#UBTECRC2601A,SEHK
00670,1558,CHINA EAST AIR,SEHK
67000,1000264162,JP#HSI  RC28047,SEHK
67001,1000213831,HS#AIA  RC2512A,SEHK
67003,1000213962,HS#TENCTRC2512A,SEHK
67004,1000269907,SG#SMIC RC2603E,SEHK
67005,1000230585,HS#HSI  RC2611W,SEHK
67006,1000258447,JP#HSI  RC27112,SEHK
67009,1000258516,JP#HSI  RC27116,SEHK
67011,1000230544,HS#HSI  RC2611Y,SEHK
67016,1000230610,HS#HSI  RC26112,SEHK
06805,1000002244,KIMOU ENVIRON,SEHK
06806,221848,SWHY,SEHK
06808,64061,SUNART RETAIL,SEHK
68000,1000275968,JP#KUASORP2804C,SEHK
68002,1000281201,UB#TRIP RC2604E,SEHK
68005,1000283087,UB#HSI  RP2804U,SEHK
68007,1000283314,UB#HSI  RP2802A,SEHK
68009,1000258812,SG#JDCOMRC2605G,SEHK
68012,1000281257,UB#KUASORP2808A,SEHK
68013,1000264357,JP#WUXI RC2609A,SEHK
00640,50656,INFINITY DEV,SEHK
64002,1000283036,DS#HSI  RP2804U,SEHK
64003,1000268744,JP#HSI  RC2808B,SEHK
64009,1000256746,JP#XIAMIRC2601G,SEHK
64013,1000268714,JP#HSI  RC2808D,SEHK
64017,1000256747,JP#MTUANRP2803A,SEHK
64020,1000256616,JP#JDCOMRP2803A,SEHK
64024,1000263658,HS#SMIC RC2603C,SEHK
64025,1000283262,HU#HSI  RP2804O,SEHK
64031,1000263667,UB#BYD  RP2801N,SEHK
00660,1541,WAI CHUN BIOTEC,SEHK
06601,1000083323,CHEERWIN GP,SEHK
06603,1000263996,IFBH,SEHK
06608,1000088161,BAIRONG-W,SEHK
06609,1000106904,HEARTCARE-B,SEHK
66000,1000283257,BP#HSI  RP2805D,SEHK
66002,1000283182,BP#HSI  RP2805G,SEHK
66015,1000258202,CT#ALIBARC2606A,SEHK
66016,1000258059,CT#HSI  RC2707N,SEHK
66020,1000275853,BP#ALIBARP2805E,SEHK
00650,1516,PRODUCTIVE TECH,SEHK
65001,1000257388,SG#HSI  RC2709U,SEHK
65002,1000257240,SG#HSI  RC2709W,SEHK
65003,1000257166,SG#HSI  RC2707D,SEHK
65004,1000257315,SG#C MOBRC2809D,SEHK
65005,1000283105,DS#POMRTRC2608A,SEHK
